3800, Dallas,1188580, USA
3801, San Antonio,1144646, USA
3802, Detroit,951270, USA
3803, San Jose,894943, USA
3804, Indianapolis,791926, USA
3805, San Francisco,776733, USA
3806, Jacksonville,735167, USA
3807, Columbus,711470, USA
3808, Austin,656562, USA
3809, Baltimore,651154, USA
3810, Memphis,650100, USA
3811, Milwaukee,596974, USA
3812, Boston,589141, USA
3813, Washington,572059, USA
3814, Nashville-Davidson,569891, USA
3815, El Paso,563662, USA
3816, Seattle,563374, USA
3817, Denver,554636, USA
3818, Charlotte,540828, USA
3819, Fort Worth,534694, USA
3820, Portland,529121, USA
3821, Oklahoma City,506132, USA
3822, Tucson,486699, USA
3823, New Orleans,484674, USA
3824, Las Vegas,478434, USA
3825, Cleveland,478403, USA
3826, Long Beach,461522, USA
3827, Albuquerque,448607, USA
3828, Kansas City,441545, USA
3829, Fresno,427652, USA
3830, Virginia Beach,425257, USA
3831, Atlanta,416474, USA
3832, Sacramento,407018, USA
3833, Oakland,399484, USA
3834, Mesa,396375, USA
3835, Tulsa,393049, USA
3836, Omaha,390007, USA
3837, Minneapolis,382618, USA
3838, Honolulu,371657, USA
3839, Miami,362470, USA
3840, Colorado Springs,360890, USA
3841, Saint Louis,348189, USA
3842, Wichita,344284, USA
3843, Santa Ana,337977, USA
3844, Pittsburgh,334563, USA
3845, Arlington,332969, USA
3846, Cincinnati,331285, USA
3847, Anaheim,328014, USA
3848, Toledo,313619, USA
3849, Tampa,303447, USA
3850, Buffalo,292648, USA
3851, Saint Paul,287151, USA
3852, Corpus Christi,277454, USA
3853, Aurora,276393, USA
3854, Raleigh,276093, USA
3855, Newark,273546, USA
3856, Lexington-Fayette,260512, USA
3857, Anchorage,260283, USA
3858, Louisville,256231, USA
3859, Riverside,255166, USA
3860, Saint Petersburg,248232, USA
3861, Bakersfield,247057, USA
3862, Stockton,243771, USA
3863, Birmingham,242820, USA
3864, Jersey City,240055, USA
3865, Norfolk,234403, USA
3866, Baton Rouge,227818, USA
3867, Hialeah,226419, USA
3868, Lincoln,225581, USA
3869, Greensboro,223891, USA
3870, Plano,222030, USA
3871, Rochester,219773, USA
3872, Glendale,218812, USA
3873, Akron,217074, USA
3874, Garland,215768, USA
3875, Madison,208054, USA
3876, Fort Wayne,205727, USA
3877, Fremont,203413, USA
3878, Scottsdale,202705, USA
3879, Montgomery,201568, USA
3880, Shreveport,200145, USA
3881, Augusta-Richmond County,199775, USA
3882, Lubbock,199564, USA
3883, Chesapeake,199184, USA
3884, Mobile,198915, USA
3885, Des Moines,198682, USA
3886, Grand Rapids,197800, USA
3887, Richmond,197790, USA
3888, Yonkers,196086, USA
3889, Spokane,195629, USA
3890, Glendale,194973, USA
3891, Tacoma,193556, USA
3892, Irving,191615, USA
3893, Huntington Beach,189594, USA
3894, Modesto,188856, USA
3895, Durham,187035, USA
